date,ticker,price,decision,rsi,sentiment,reason
2025-12-19,ADA-USDT,0.3767,sell,38.55,neutral,"SELL: score=-22.7"
2025-12-19,BNB-USDT,856.17,sell,43.53,neutral,"SELL: score=-10.0"
2025-12-19,BTC-USDT,88136.94,sell,44.70,neutral,"SELL: score=-12.5"
2025-12-19,DOGE-USDT,0.13222,sell,42.70,neutral,"SELL: score=-21.2"
2025-12-19,DOT-USDT,1.849,sell,32.92,neutral,"SELL: score=-21.7"
2025-12-19,ETH-USDT,2979.5,sell,46.61,neutral,"SELL: score=-34.5"
2025-12-19,LTC-USDT,77.49,hold,38.93,neutral,"HOLD: score=-6.4"
2025-12-19,SOL-USDT,126.27,sell,43.89,neutral,"SELL: score=-29.3"
2025-12-19,XRP-USDT,1.9092,sell,40.95,neutral,"SELL: score=-27.2"
2025-12-20,ADA-USDT,0.373,sell,37.84,neutral,"SELL: score=-21.1"
2025-12-20,BNB-USDT,854.17,hold,43.15,neutral,"HOLD: score=-9.7"
2025-12-20,BTC-USDT,88360.9,sell,45.31,neutral,"SELL: score=-13.9"
2025-12-20,DOGE-USDT,0.13194,sell,42.51,neutral,"SELL: score=-21.0"
2025-12-20,DOT-USDT,1.832,sell,32.36,neutral,"SELL: score=-20.8"
2025-12-20,ETH-USDT,2977.93,sell,46.53,neutral,"SELL: score=-34.4"
2025-12-20,LTC-USDT,77.84,hold,39.68,neutral,"HOLD: score=-8.2"
2025-12-20,SOL-USDT,125.81,sell,43.47,neutral,"SELL: score=-29.2"
2025-12-20,XRP-USDT,1.9335,sell,42.92,neutral,"SELL: score=-30.6"
2025-12-21,ADA-USDT,0.3662,sell,36.50,neutral,"SELL: score=-18.7"
2025-12-21,BNB-USDT,858.64,sell,44.32,neutral,"SELL: score=-10.5"
2025-12-21,BTC-USDT,88658.86,sell,46.16,neutral,"SELL: score=-14.7"
2025-12-21,DOGE-USDT,0.13112,sell,41.91,neutral,"SELL: score=-19.9"
2025-12-21,DOT-USDT,1.802,sell,31.35,neutral,"SELL: score=-16.9"
2025-12-21,ETH-USDT,3002.02,sell,47.85,neutral,"SELL: score=-35.5"
2025-12-21,LTC-USDT,76.79,hold,38.15,neutral,"HOLD: score=-5.2"
2025-12-21,SOL-USDT,126.03,sell,43.75,neutral,"SELL: score=-29.7"
2025-12-21,XRP-USDT,1.9223,sell,42.22,neutral,"SELL: score=-29.1"
2025-12-22,ADA-USDT,0.3711,sell,38.19,neutral,"SELL: score=-20.4"
2025-12-22,BNB-USDT,858.66,sell,44.33,neutral,"SELL: score=-10.9"
2025-12-22,BTC-USDT,88620.79,sell,46.06,neutral,"SELL: score=-15.0"
2025-12-22,DOGE-USDT,0.13258,sell,43.44,neutral,"SELL: score=-22.3"
2025-12-22,DOT-USDT,1.784,hold,30.73,neutral,"HOLD: score=5.6"
2025-12-22,ETH-USDT,3009.49,sell,48.28,neutral,"SELL: score=-16.1"
2025-12-22,LTC-USDT,77.05,hold,38.78,neutral,"HOLD: score=1.4"
2025-12-22,SOL-USDT,125.93,sell,43.64,neutral,"SELL: score=-30.2"
2025-12-22,XRP-USDT,1.9043,sell,41.06,neutral,"SELL: score=-24.9"
2025-12-23,ADA-USDT,0.3628,sell,36.43,neutral,"SELL: score=-17.9"
2025-12-23,BNB-USDT,844.3,hold,41.16,neutral,"HOLD: score=-5.3"
2025-12-23,BTC-USDT,87486,sell,43.11,neutral,"SELL: score=-10.3"
2025-12-23,DOGE-USDT,0.12928,sell,40.81,neutral,"SELL: score=-18.1"
2025-12-23,DOT-USDT,1.765,hold,30.06,neutral,"HOLD: score=8.1"
2025-12-23,ETH-USDT,2965.02,sell,45.88,neutral,"SELL: score=-13.0"
2025-12-23,LTC-USDT,77.01,hold,38.72,neutral,"HOLD: score=12.6"
2025-12-23,SOL-USDT,124.01,sell,41.58,neutral,"SELL: score=-27.0"
2025-12-23,XRP-USDT,1.8734,sell,39.08,neutral,"SELL: score=-21.2"
2025-12-24,ADA-USDT,0.3566,sell,35.12,neutral,"SELL: score=-16.6"
2025-12-24,BNB-USDT,846.58,hold,41.87,neutral,"HOLD: score=-7.3"
2025-12-24,BTC-USDT,87669.45,sell,43.74,neutral,"SELL: score=-11.8"
2025-12-24,DOGE-USDT,0.12856,sell,40.24,neutral,"SELL: score=-17.6"
2025-12-24,DOT-USDT,1.738,hold,29.08,neutral,"HOLD: score=10.0"
2025-12-24,ETH-USDT,2947.47,sell,44.93,neutral,"SELL: score=-12.1"
2025-12-24,LTC-USDT,75.79,hold,36.69,neutral,"HOLD: score=15.5"
2025-12-24,SOL-USDT,122.53,hold,40.01,neutral,"HOLD: score=-5.0"
2025-12-24,XRP-USDT,1.8628,hold,38.39,neutral,"HOLD: score=-0.2"
2025-12-25,ADA-USDT,0.3434,sell,32.45,neutral,"SELL: score=-14.0"
2025-12-25,BNB-USDT,829.64,hold,38.18,neutral,"HOLD: score=-1.5"
2025-12-25,BTC-USDT,87225.27,sell,42.52,neutral,"SELL: score=-10.1"
2025-12-25,DOGE-USDT,0.12365,sell,36.49,neutral,"SELL: score=-11.8"
2025-12-25,DOT-USDT,1.685,hold,27.21,neutral,"HOLD: score=10.7"
2025-12-25,ETH-USDT,2903.95,hold,42.57,neutral,"HOLD: score=-9.0"
2025-12-25,LTC-USDT,75.71,hold,36.55,neutral,"HOLD: score=14.9"
2025-12-25,SOL-USDT,120.06,hold,37.46,neutral,"HOLD: score=-1.8"
2025-12-25,XRP-USDT,1.8326,hold,36.44,neutral,"HOLD: score=1.4"
2025-12-26,ADA-USDT,0.3496,hold,34.95,neutral,"HOLD: score=2.9"
2025-12-26,BNB-USDT,834.72,hold,39.89,neutral,"HOLD: score=-5.1"
2025-12-26,BTC-USDT,87369.56,sell,43.07,neutral,"SELL: score=-11.3"
2025-12-26,DOGE-USDT,0.12211,hold,35.37,neutral,"HOLD: score=8.6"
2025-12-26,DOT-USDT,1.723,hold,30.65,neutral,"HOLD: score=9.7"
2025-12-26,ETH-USDT,2927.99,sell,44.31,neutral,"SELL: score=-11.6"
2025-12-26,LTC-USDT,76.87,hold,40.01,neutral,"HOLD: score=10.1"
2025-12-26,SOL-USDT,122.26,hold,41.06,neutral,"HOLD: score=-7.5"
2025-12-26,XRP-USDT,1.8437,hold,37.69,neutral,"HOLD: score=-0.1"
2025-12-27,ADA-USDT,0.37,sell,42.49,neutral,"SELL: score=-23.6"
2025-12-27,BNB-USDT,845.04,sell,43.32,neutral,"SELL: score=-10.8"
2025-12-27,BTC-USDT,87877.01,sell,45.09,neutral,"SELL: score=-14.5"
2025-12-27,DOGE-USDT,0.12435,hold,38.32,neutral,"HOLD: score=4.0"
2025-12-27,DOT-USDT,1.91,sell,44.56,neutral,"SELL: score=-17.4"
2025-12-27,ETH-USDT,2949.05,sell,45.85,neutral,"SELL: score=-13.8"
2025-12-27,LTC-USDT,80.33,hold,48.94,neutral,"HOLD: score=-2.4"
2025-12-27,SOL-USDT,124.73,sell,44.89,neutral,"SELL: score=-13.2"
2025-12-27,XRP-USDT,1.8735,hold,41.07,neutral,"HOLD: score=-1.5"
2025-12-28,ADA-USDT,0.3688,sell,42.18,neutral,"SELL: score=-22.4"
2025-12-28,BNB-USDT,859.32,sell,47.76,neutral,"SELL: score=-18.2"
2025-12-28,BTC-USDT,87952.71,sell,45.40,neutral,"SELL: score=-15.4"
2025-12-28,DOGE-USDT,0.12393,hold,37.97,neutral,"HOLD: score=3.9"
2025-12-28,DOT-USDT,1.851,sell,41.72,neutral,"SELL: score=-13.9"
2025-12-28,ETH-USDT,2950.91,sell,46.00,neutral,"SELL: score=-14.4"
2025-12-28,LTC-USDT,78.73,hold,45.56,neutral,"HOLD: score=2.4"
2025-12-28,SOL-USDT,125.27,sell,45.72,neutral,"SELL: score=-10.9"
2025-12-28,XRP-USDT,1.8654,hold,40.42,neutral,"HOLD: score=1.1"
2025-12-29,ADA-USDT,0.3532,sell,38.28,neutral,"SELL: score=-17.1"
2025-12-29,BNB-USDT,852.46,sell,45.90,neutral,"SELL: score=-15.5"
2025-12-29,BTC-USDT,87237.13,sell,42.93,neutral,"SELL: score=-12.0"
2025-12-29,DOGE-USDT,0.12288,hold,37.06,neutral,"HOLD: score=5.3"
2025-12-29,DOT-USDT,1.824,sell,40.45,neutral,"SELL: score=-12.6"
2025-12-29,ETH-USDT,2937.9,sell,45.10,neutral,"SELL: score=-13.8"
2025-12-29,LTC-USDT,78.32,hold,44.71,neutral,"HOLD: score=2.9"
2025-12-29,SOL-USDT,123.28,hold,43.14,neutral,"HOLD: score=8.7"
2025-12-29,XRP-USDT,1.8508,hold,39.24,neutral,"HOLD: score=3.7"
2025-12-30,ADA-USDT,0.3514,sell,37.84,neutral,"SELL: score=-16.2"
2025-12-30,BNB-USDT,861.65,hold,48.78,neutral,"HOLD: score=-1.1"
2025-12-30,BTC-USDT,88485.49,hold,48.22,neutral,"HOLD: score=-0.9"
2025-12-30,DOGE-USDT,0.12336,hold,37.80,neutral,"HOLD: score=4.0"
2025-12-30,DOT-USDT,1.811,sell,39.82,neutral,"SELL: score=-12.1"
2025-12-30,ETH-USDT,2973.69,sell,48.09,neutral,"SELL: score=-18.5"
2025-12-30,LTC-USDT,78.89,hold,46.22,neutral,"HOLD: score=-0.6"
2025-12-30,SOL-USDT,125.01,hold,45.99,neutral,"HOLD: score=3.9"
2025-12-30,XRP-USDT,1.8776,hold,42.57,neutral,"HOLD: score=1.4"
2025-12-31,ADA-USDT,0.3335,hold,33.73,neutral,"HOLD: score=-9.7"
2025-12-31,BNB-USDT,864.3,hold,49.61,neutral,"HOLD: score=-3.2"
2025-12-31,BTC-USDT,87648.22,hold,45.19,neutral,"HOLD: score=3.9"
2025-12-31,DOGE-USDT,0.11747,hold,32.74,neutral,"HOLD: score=12.7"
2025-12-31,DOT-USDT,1.789,sell,38.72,neutral,"SELL: score=-10.5"
2025-12-31,ETH-USDT,2971.64,sell,47.93,neutral,"SELL: score=-19.4"
2025-12-31,LTC-USDT,76.85,buy,41.83,neutral,"BUY: score=48.0"
